date,volume,open,high,low,close,price_difference,ma10,ma30,rsi,macd,macdsignal,macdhist,snownlp,bert
2019/6/5,35901584,238,238,234,235,2,232.65,246.8666667,41.75473027,-5.192096634,-5.31417126,0.122074626,0.033316228,-1
2019/6/6,34651731,231.5,232,229.5,232,-3,232.85,245.6333333,38.70037314,-5.112938424,-5.273924693,0.160986269,0.128043981,-1
2019/6/10,35521888,237.5,240,234.5,240,8,233.55,244.7166667,49.34215314,-4.354476141,-5.090034983,0.735558841,0.060385106,-1
2019/6/12,30409556,244.5,247.5,243,246,1.5,236.45,243.75,55.67659091,-2.408091009,-4.275503197,1.867412188,0.342060453,-1
2019/6/13,33731724,242.5,244,240,240,-6,237.5,243.1166667,48.74143122,-2.120032059,-3.84440897,1.724376911,0.750970249,1
2019/6/14,35403556,238.5,239.5,236,236,-4,238,242.35,44.74035622,-2.189273257,-3.513381827,1.32410857,0.004611691,-1
2019/6/17,51692012,231.5,235,230.5,233,-3,237.75,241.2833333,41.95844212,-2.457889315,-3.302283325,0.84439401,0.073458232,-1
2019/6/18,28798087,234,235.5,233,235.5,2.5,237.5,240.5,45.02608221,-2.440903157,-3.130007291,0.689104134,0.003084427,-1
2019/6/24,43460507,241,242,240,241,5.5,241.35,238.6166667,49.92484861,-0.208627955,-1.67533461,1.466706655,0.600404111,-1
2019/6/26,28770041,235,236.5,234,234.5,-4,239.6,237.75,43.91631723,-0.819515555,-1.296058779,0.476543224,0.477092693,-1
2019/7/2,26832202,249.5,250,247.5,249,0.5,242.85,237.8,57.41760108,0.717907896,-0.53140217,1.249310066,0.978556313,-1
2019/7/3,29549774,244,245,242,242.5,-6.5,242.7,238.0833333,50.87897712,0.690410645,-0.287039607,0.977450252,0.253159483,-1
2019/7/4,18691240,244.5,245,242.5,244,1.5,242.6,238.2833333,52.23089711,0.780657407,-0.073500204,0.854157611,0.475636142,-1
2019/7/5,27317074,244.5,245,241.5,243,-1,242.05,238.7166667,51.21883605,0.762695098,0.093738856,0.668956242,0.009537283,-1
2019/7/8,29190909,240,244.5,240,242.5,-0.5,242.2,239.0333333,50.68995763,0.700044343,0.214999954,0.485044389,0.165044328,-1
2019/7/9,16538987,241.5,243,240.5,242,-0.5,242.55,239.4,50.13247673,0.60309524,0.292619011,0.310476229,0.026543617,-1
2019/7/10,23812131,243,247,243,247,5,243.8,239.95,55.41326128,0.919125485,0.417920306,0.501205179,0.08351719,-1
2019/7/11,31296289,250,250,247.5,250,3,244.75,240.6333333,58.26873479,1.395569403,0.613450125,0.782119278,0.359065132,-1
2019/7/12,23868432,252,252,249.5,250.5,0.5,245.9,241.2833333,58.74298083,1.79283379,0.849326858,0.943506932,0.688619647,1
2019/7/15,34264300,251,254.5,249.5,254.5,4,246.5,241.9166667,62.42214226,2.402737981,1.160009083,1.242728899,0.108571257,0
